t,dt,found,px,py,frac_x,frac_y,x_mm,y_mm,vx,vy,valid,roll_cmd,pitch_cmd,applied,arm1_delta,arm2_delta,arm3_delta
0.0000,0.0000,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
0.8790,0.8790,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
0.9165,0.0375,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
0.9545,0.0380,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
0.9950,0.0405,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.0327,0.0377,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.0705,0.0378,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.1086,0.0380,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.1468,0.0382,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.1850,0.0382,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.2221,0.0372,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.2597,0.0376,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.2969,0.0371,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.3338,0.0369,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.3708,0.0370,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.4081,0.0373,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.4460,0.0379,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.4840,0.0380,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.5213,0.0373,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.5624,0.0411,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.5995,0.0371,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.6376,0.0381,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.6758,0.0383,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.7140,0.0382,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.7518,0.0378,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.7893,0.0375,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.8267,0.0374,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.8638,0.0371,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.9008,0.0370,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.9400,0.0392,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
1.9790,0.0390,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
2.0171,0.0382,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
2.0545,0.0373,0,0,0,nan,nan,0.00,0.00,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
2.0924,0.0379,1,286,466,-0.1062,0.9417,-4.76,-31.64,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
2.1311,0.0387,0,0,0,nan,nan,-4.76,-31.64,0.0,0.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
2.1688,0.0377,1,241,438,-0.2469,0.8250,-11.03,-27.74,-82.9,51.6,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
2.2091,0.0403,1,236,444,-0.2625,0.8500,-12.22,-28.05,-39.1,3.0,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
2.2486,0.0395,1,220,446,-0.3125,0.8583,-13.96,-28.68,-43.1,-12.4,0,0.0000,0.0000,0,0.0000,0.0000,0.0000
2.2880,0.0393,1,205,444,-0.3594,0.8500,-16.02,-28.67,-50.6,-2.2,1,-0.1003,0.0561,1,-0.2223,0.1950,-0.0032
2.3319,0.0439,1,183,441,-0.4281,0.8375,-19.03,-28.24,-66.6,8.5,1,-0.0910,0.1215,1,-0.3600,0.1787,0.1195
2.3779,0.0460,1,170,442,-0.4688,0.8417,-21.15,-28.22,-47.7,1.1,1,-0.0985,0.1109,1,-0.3447,0.1924,0.0943
2.4229,0.0450,1,157,443,-0.5094,0.8458,-22.89,-28.38,-39.5,-3.2,1,-0.1023,0.1110,1,-0.3503,0.1995,0.0908
